dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
213.0000   -0.374788   -0.414635   -0.374788   -0.414635
213.5000   -0.156859   -0.522612   -0.156859   -0.522612
214.0000    0.041163   -0.543053    0.041163   -0.543053
214.5000    0.182804   -0.488949    0.182804   -0.488949
215.0000    0.248868   -0.385726    0.248868   -0.385726
215.5000    0.240654   -0.264297    0.240654   -0.264297
216.0000    0.178152   -0.153383    0.178152   -0.153383
216.5000    0.093786   -0.072900    0.093786   -0.072900
217.0000    0.023296   -0.029914    0.023296   -0.029914
217.5000   -0.003991   -0.018040   -0.003991   -0.018040
218.0000    0.026899   -0.020350    0.026899   -0.020350
218.5000    0.112362   -0.014988    0.112362   -0.014988
219.0000    0.230747    0.017921    0.230747    0.017921
219.5000    0.347543    0.089821    0.347543    0.089821
220.0000    0.424008    0.199371    0.424008    0.199371
220.5000    0.427163    0.331339    0.427163    0.331339
221.0000    0.338768    0.459135    0.338768    0.459135
221.5000    0.161074    0.550513    0.161074    0.550513
222.0000   -0.082107    0.575176   -0.082107    0.575176
222.5000   -0.349392    0.512539   -0.349392    0.512539
223.0000   -0.590079    0.357822   -0.590079    0.357822
223.5000   -0.754869    0.124934   -0.754869    0.124934
224.0000   -0.806666   -0.154678   -0.806666   -0.154678
224.5000   -0.729009   -0.437144   -0.729009   -0.437144
225.0000   -0.530210   -0.674299   -0.530210   -0.674299
225.5000   -0.242237   -0.823152   -0.242237   -0.823152
226.0000    0.085480   -0.854686    0.085480   -0.854686
226.5000    0.395963   -0.760070    0.395963   -0.760070
227.0000    0.636167   -0.552901    0.636167   -0.552901
227.5000    0.767528   -0.266915    0.767528   -0.266915
228.0000    0.773285    0.050379    0.773285    0.050379
228.5000    0.661059    0.346862    0.661059    0.346862
229.0000    0.460209    0.575815    0.460209    0.575815
229.5000    0.214679    0.704676    0.214679    0.704676
230.0000   -0.026968    0.720725   -0.026968    0.720725
230.5000   -0.222037    0.632534   -0.222037    0.632534
231.0000   -0.342358    0.466975   -0.342358    0.466975
231.5000   -0.379219    0.262541   -0.379219    0.262541
232.0000   -0.343604    0.060542   -0.343604    0.060542
232.5000   -0.261849   -0.103828   -0.261849   -0.103828
233.0000   -0.167886   -0.208541   -0.167886   -0.208541
233.5000   -0.094046   -0.248398   -0.094046   -0.248398
234.0000   -0.062643   -0.234563   -0.062643   -0.234563
234.5000   -0.080380   -0.190210   -0.080380   -0.190210
235.0000   -0.136891   -0.143438   -0.136891   -0.143438
235.5000   -0.207726   -0.119213   -0.207726   -0.119213
236.0000   -0.261042   -0.132344   -0.261042   -0.132344
236.5000   -0.266334   -0.183213   -0.266334   -0.183213
237.0000   -0.203088   -0.257330   -0.203088   -0.257330
237.5000   -0.067195   -0.328873   -0.067195   -0.328873
238.0000    0.126458   -0.367383    0.126458   -0.367383
238.5000    0.345990   -0.346027    0.345990   -0.346027
239.0000    0.548735   -0.249428    0.548735   -0.249428
239.5000    0.690349   -0.079086    0.690349   -0.079086
240.0000    0.734767    0.145012    0.734767    0.145012
240.5000    0.662743    0.387172    0.662743    0.387172
241.0000    0.477006    0.602709    0.477006    0.602709
241.5000    0.202799    0.747194    0.202799    0.747194
242.0000   -0.116416    0.786227   -0.116416    0.786227
242.5000   -0.427214    0.703500   -0.427214    0.703500
243.0000   -0.676672    0.505310   -0.676672    0.505310
243.5000   -0.822805    0.220358   -0.822805    0.220358
244.0000   -0.842735   -0.105223   -0.842735   -0.105223
244.5000   -0.736873   -0.416652   -0.736873   -0.416652
245.0000   -0.528269   -0.661250   -0.528269   -0.661250
245.5000   -0.257346   -0.798856   -0.257346   -0.798856
246.0000    0.026743   -0.809669    0.026743   -0.809669
246.5000    0.276219   -0.697812    0.276219   -0.697812
247.0000    0.454022   -0.489886    0.454022   -0.489886
247.5000    0.540405   -0.228856    0.540405   -0.228856
248.0000    0.535465    0.035330    0.535465    0.035330
248.5000    0.457230    0.256296    0.457230    0.256296
249.0000    0.335926    0.400615    0.335926    0.400615
249.5000    0.205897    0.453975    0.205897    0.453975
250.0000    0.097144    0.422815    0.097144    0.422815
